entity,code,year,all_death,neoplasms,ratio,death_rate,gdp,population,sales_of_cigarettes_per_adult_per_day,annual_co2_emissions_tonnes
Armenia,ARM,1990,22801,4136,0.18139555282663042,148.32698748728092,5180.0612025078,3538164,11.89999961853027,6642549.18
Armenia,ARM,1991,23671,4274,0.18055848929069326,150.21845023545478,4616.94485412872,3505249,9.300000190734863,6440640.87
Armenia,ARM,1992,25719,4588,0.17838951747735138,158.44394986242435,2735.78653877911,3442820,4.900000095367432,5719931.63
Armenia,ARM,1993,26712,4681,0.17523959269242287,159.57836274989572,2554.17216716616,3363111,5.5,2508264.53
Armenia,ARM,1994,25535,4478,0.17536714313687096,150.60218686073108,2757.23180984117,3283664,5.699999809265137,2683496.48
Armenia,ARM,1995,25025,4487,0.1793006993006993,147.81459715930407,3008.23332068624,3217349,5.599999904632568,3360091.62
Armenia,ARM,1996,25035,4606,0.18398242460555222,148.55722929341923,3234.06962110572,3168213,5.599999904632568,2497343.84
Armenia,ARM,1997,24119,4525,0.1876114266760645,142.96206277959362,3378.94443074421,3133081,5.599999904632568,3246443.17
Armenia,ARM,1998,23884,4565,0.19113213867023948,142.23483839880166,3654.05296834871,3108691,5.699999809265137,3411071.87
Australia,AUS,1990,113589,31401,0.27644402186831474,162.28262560549217,31058.2596709541,16960600,7.599999904632568,278424375.7
Australia,AUS,1991,113521,31902,0.28102289444243794,160.42292463195477,30542.9197143586,17189235,7.300000190734863,279872363.9
Australia,AUS,1992,115531,32785,0.2837766486916931,160.70456254057456,30298.9290163388,17402179,7.300000190734863,284912124.3
Australia,AUS,1993,116309,33430,0.2874240170580093,159.7867443469596,31213.0798529168,17603211,6.599999904632568,289234856.5
Australia,AUS,1994,119121,34419,0.28894149646158107,160.49547131737813,32114.830840244,17798526,6.400000095367432,294014610.4
Australia,AUS,1995,119684,34883,0.29145917582968484,158.70546092597291,32946.9006734039,17993083,6.300000190734863,305409799.3
Australia,AUS,1996,121577,35577,0.29262936246164983,157.59114584807216,33778.0635392223,18189274,5.599999904632568,312361210
Australia,AUS,1997,121817,35937,0.2950080858993408,155.02038184024607,34727.1997827083,18387205,5.599999904632568,320794696.4
