entity;code;year;all_death;neoplasms;ratio;death_rate;gdp;population;sales_of_cigarettes_per_adult_per_day;annual_co2_emissions_tonnes
Armenia;ARM;1990;22801;4136;0.181395553;148.3269875;5180.061203;3538164;11.89999962;6642549.18
Armenia;ARM;1991;23671;4274;0.180558489;150.2184502;4616.944854;3505249;9.300000191;6440640.87
Armenia;ARM;1992;25719;4588;0.178389517;158.4439499;2735.786539;3442820;4.900000095;5719931.63
Armenia;ARM;1993;26712;4681;0.175239593;159.5783627;2554.172167;3363111;5.5;2508264.53
Armenia;ARM;1994;25535;4478;0.175367143;150.6021869;2757.23181;3283664;5.699999809;2683496.48
Armenia;ARM;1995;25025;4487;0.179300699;147.8145972;3008.233321;3217349;5.599999905;3360091.62
Armenia;ARM;1996;25035;4606;0.183982425;148.5572293;3234.069621;3168213;5.599999905;2497343.84
Armenia;ARM;1997;24119;4525;0.187611427;142.9620628;3378.944431;3133081;5.599999905;3246443.17
Armenia;ARM;1998;23884;4565;0.191132139;142.2348384;3654.052968;3108691;5.699999809;3411071.87
Australia;AUS;1990;113589;31401;0.276444022;162.2826256;31058.25967;16960600;7.599999905;278424375.7
Australia;AUS;1991;113521;31902;0.281022894;160.4229246;30542.91971;17189235;7.300000191;279872363.9
Australia;AUS;1992;115531;32785;0.283776649;160.7045625;30298.92902;17402179;7.300000191;284912124.3
Australia;AUS;1993;116309;33430;0.287424017;159.7867443;31213.07985;17603211;6.599999905;289234856.5
Australia;AUS;1994;119121;34419;0.288941496;160.4954713;32114.83084;17798526;6.400000095;294014610.4
Australia;AUS;1995;119684;34883;0.291459176;158.7054609;32946.90067;17993083;6.300000191;305409799.3
Australia;AUS;1996;121577;35577;0.292629362;157.5911458;33778.06354;18189274;5.599999905;312361210
Australia;AUS;1997;121817;35937;0.295008086;155.0203818;34727.19978;18387205;5.599999905;320794696.4
Australia;AUS;1998;121617;36234;0.297935322;152.2101781;35940.01714;18587027;5.400000095;334684106.5
Australia;AUS;1999;121706;36561;0.300404253;149.4477627;37334.47523;18788187;5.099999905;344063336.2
Australia;AUS;2000;122290;37009;0.302633085;147.1855742;38343.00215;18991434;4.900000095;350194581.8
Australia;AUS;2001;122934;37485;0.304919713;144.730008;38559.90419;19194676;4.5;357668742.8
Australia;AUS;2002;124778;38098;0.305326259;142.9694435;39616.3361;19401366;4.300000191;362209093.8
Australia;AUS;2003;124653;37909;0.304116227;138.464823;40298.88605;19624163;4.5;369725835.4
Australia;AUS;2004;124483;39058;0.313761718;138.7417734;41449.84195;19879654;4.300000191;383204944.7
Australia;AUS;2005;124441;39704;0.319058831;137.1553159;42217.13635;20178543;4.199999809;386515211.6
Australia;AUS;2006;126024;40546;0.321732368;135.983294;42761.40561;20526300;4.099999905;392681873.2
Australia;AUS;2007;129287;41904;0.324116114;136.6952402;44128.72709;20916339;4.099999905;400415729.4
Australia;AUS;2008;131715;43049;0.326834453;136.8412083;44835.36141;21332293;4.199999809;405048537.2
Australia;AUS;2009;132087;43523;0.329502525;134.9565493;44771.48421;21750852;4.099999905;408672631.7
Australia;AUS;2010;132798;44010;0.331405593;132.9678768;44991.78371;22154687;4;406752772.7
Austria;AUT;1990;80361;20644;0.25689078;175.3871373;37440.83712;7723954;6.300000191;62292228.93
Austria;AUT;1991;80474;20747;0.257809976;175.1203929;38344.65386;7772698;6.400000095;65899677.65
Austria;AUT;1992;80264;20787;0.258982857;174.1845298;38718.93305;7830938;6.099999905;60431459.18
Austria;AUT;1993;79716;20731;0.260060716;172.8109222;38603.25855;7892089;5.800000191;60787739.13
Austria;AUT;1994;78687;20543;0.26107235;169.8256831;39378.70612;7947215;5.900000095;61190346.75
Austria;AUT;1995;78819;20605;0.261421738;167.90036;40367.47105;7990113;5.599999905;64205950.22
Austria;AUT;1996;78598;20558;0.261558818;165.9651492;41260.1714;8017852;5.400000095;67673887.44
Austria;AUT;1997;77386;20411;0.263755718;162.9517103;42076.28765;8032873;5.699999809;67453011.31
Austria;AUT;1998;76787;20321;0.26464115;160.6270769;43535.42175;8041054;6.400000095;67054364.04
Austria;AUT;1999;76340;20222;0.264893896;157.8098752;44996.0546;8051116;6.599999905;65621004.96
Austria;AUT;2000;75674;20150;0.266273753;154.5275095;46403.2777;8069276;6.5;66261743.06
Austria;AUT;2001;74291;19938;0.268377058;150.934073;46811.74677;8097755;6.300000191;70390857.43
Austria;AUT;2002;74661;20079;0.268935589;149.7229652;47351.3347;8134403;4.800000191;72146538.21
Austria;AUT;2003;74693;20229;0.270828592;148.8002683;47564.8639;8175855;4.599999905;77764249.22
Austria;AUT;2004;73266;20105;0.27441105;145.4532193;48563.58866;8216809;4.599999905;78052545.98
Azerbaijan;AZE;1990;56504;6953;0.123053235;131.8235224;7758.154036;7242758;4.400000095;63052952.43
Azerbaijan;AZE;1991;58749;7121;0.121210574;132.2499349;7585.179517;7357945;5.199999809;60800253.65
Azerbaijan;AZE;1992;65131;7429;0.114062428;135.5359894;5782.650277;7471924;3.799999952;56175802.12
